row,absolute_window_start,agreement_fraction,all_five_agree,at_least_four_agree,selected_pair_unique_count,max_probability_variance,selected_pair_error_variance,modal_pair
72,72,1.0,True,True,1,0.0018804349174279624,0.0,TimesNet+ModernTCN
73,73,1.0,True,True,1,0.0018698975565063411,0.0,TimesNet+ModernTCN
74,74,1.0,True,True,1,0.001878452947465039,0.0,TimesNet+ModernTCN
75,75,1.0,True,True,1,0.0018991993580028143,0.0,TimesNet+ModernTCN
76,76,1.0,True,True,1,0.0019451198133111803,0.0,TimesNet+ModernTCN
77,77,1.0,True,True,1,0.0020240156080482486,0.0,TimesNet+ModernTCN
78,78,1.0,True,True,1,0.0021042222078308725,0.0,TimesNet+ModernTCN
79,79,1.0,True,True,1,0.0022099023681261794,0.0,TimesNet+ModernTCN
80,80,1.0,True,True,1,0.002305117041858882,0.0,TimesNet+ModernTCN
81,81,1.0,True,True,1,0.0023776661929522194,0.0,TimesNet+ModernTCN
82,82,1.0,True,True,1,0.0023955288475246304,0.0,TimesNet+ModernTCN
83,83,1.0,True,True,1,0.0023672625148192595,0.0,TimesNet+ModernTCN
84,84,1.0,True,True,1,0.0023147177076406323,0.0,TimesNet+ModernTCN
85,85,1.0,True,True,1,0.0022270872098850347,0.0,TimesNet+ModernTCN
86,86,1.0,True,True,1,0.002201677445068526,0.0,TimesNet+ModernTCN
87,87,1.0,True,True,1,0.002098686689964566,0.0,TimesNet+ModernTCN
88,88,1.0,True,True,1,0.002055571483449725,0.0,TimesNet+ModernTCN
89,89,1.0,True,True,1,0.0020734832312477637,0.0,TimesNet+ModernTCN
90,90,1.0,True,True,1,0.0020736165041899033,0.0,TimesNet+ModernTCN
91,91,1.0,True,True,1,0.002082611291122305,0.0,TimesNet+ModernTCN
92,92,1.0,True,True,1,0.002171850363586145,0.0,TimesNet+ModernTCN
93,93,1.0,True,True,1,0.0022535805434808513,0.0,TimesNet+ModernTCN
94,94,1.0,True,True,1,0.002283303802211947,0.0,TimesNet+ModernTCN
95,95,1.0,True,True,1,0.002295501234966757,0.0,TimesNet+ModernTCN
96,96,1.0,True,True,1,0.0022645585306881348,0.0,TimesNet+ModernTCN
97,97,1.0,True,True,1,0.0022385610420730374,0.0,TimesNet+ModernTCN
98,98,1.0,True,True,1,0.0022217265484869133,0.0,TimesNet+ModernTCN
99,99,1.0,True,True,1,0.0022146252890646065,0.0,TimesNet+ModernTCN
100,100,1.0,True,True,1,0.0022271767901195535,0.0,TimesNet+ModernTCN
101,101,1.0,True,True,1,0.0022985532787034657,0.0,TimesNet+ModernTCN
102,102,1.0,True,True,1,0.0024134719369850546,0.0,TimesNet+ModernTCN
103,103,1.0,True,True,1,0.0026174320092137294,0.0,TimesNet+ModernTCN
104,104,1.0,True,True,1,0.0028335666097805043,0.0,TimesNet+ModernTCN
105,105,1.0,True,True,1,0.0030721875325131617,0.0,TimesNet+ModernTCN
106,106,1.0,True,True,1,0.0033641993027726967,0.0,TimesNet+ModernTCN
107,107,1.0,True,True,1,0.003702838801917227,0.0,TimesNet+ModernTCN
108,108,1.0,True,True,1,0.004084207114048279,0.0,TimesNet+ModernTCN
109,109,1.0,True,True,1,0.004634607319235507,0.0,TimesNet+ModernTCN
110,110,1.0,True,True,1,0.005213581585937597,0.0,TimesNet+ModernTCN
111,111,1.0,True,True,1,0.005812011392870672,0.0,TimesNet+ModernTCN
112,112,1.0,True,True,1,0.006227248227157265,0.0,TimesNet+ModernTCN
113,113,1.0,True,True,1,0.006583326856157398,0.0,TimesNet+ModernTCN
114,114,1.0,True,True,1,0.0067924751389140435,0.0,TimesNet+ModernTCN
115,115,1.0,True,True,1,0.006890283595199875,0.0,TimesNet+ModernTCN
116,116,1.0,True,True,1,0.007015695211382464,0.0,TimesNet+ModernTCN
117,117,1.0,True,True,1,0.007110308408273055,0.0,TimesNet+ModernTCN
118,118,1.0,True,True,1,0.007174359874459313,0.0,TimesNet+ModernTCN
119,119,1.0,True,True,1,0.007228683819257993,0.0,TimesNet+ModernTCN
120,120,1.0,True,True,1,0.007286254299883978,0.0,TimesNet+ModernTCN
121,121,1.0,True,True,1,0.007390891048095441,0.0,TimesNet+ModernTCN
122,122,1.0,True,True,1,0.007511115268195212,0.0,TimesNet+ModernTCN
123,123,1.0,True,True,1,0.007650128046939528,0.0,TimesNet+ModernTCN
124,124,1.0,True,True,1,0.007818042241317259,0.0,TimesNet+ModernTCN
125,125,1.0,True,True,1,0.008009928868752281,0.0,TimesNet+ModernTCN
126,126,1.0,True,True,1,0.008243746077215662,0.0,TimesNet+ModernTCN
127,127,1.0,True,True,1,0.00851424346083803,0.0,TimesNet+ModernTCN
128,128,1.0,True,True,1,0.008838845239972883,0.0,TimesNet+ModernTCN
129,129,1.0,True,True,1,0.009186414380511074,0.0,TimesNet+ModernTCN
130,130,1.0,True,True,1,0.009690137563050387,0.0,TimesNet+ModernTCN
131,131,1.0,True,True,1,0.010146773233958725,0.0,TimesNet+ModernTCN
132,132,1.0,True,True,1,0.010597326460840292,0.0,TimesNet+ModernTCN
133,133,1.0,True,True,1,0.01103541694473499,0.0,TimesNet+ModernTCN
134,134,1.0,True,True,1,0.011350969025449728,0.0,TimesNet+ModernTCN
135,135,1.0,True,True,1,0.011624094531487827,0.0,TimesNet+ModernTCN
136,136,1.0,True,True,1,0.011842334371970013,0.0,TimesNet+ModernTCN
137,137,1.0,True,True,1,0.012059714928112123,0.0,TimesNet+ModernTCN
138,138,1.0,True,True,1,0.012275330114650486,0.0,TimesNet+ModernTCN
139,139,1.0,True,True,1,0.012450560519464417,0.0,TimesNet+ModernTCN
140,140,1.0,True,True,1,0.012611179599678338,0.0,TimesNet+ModernTCN
141,141,1.0,True,True,1,0.01263863609947485,0.0,TimesNet+ModernTCN
142,142,1.0,True,True,1,0.012535983844179876,0.0,TimesNet+ModernTCN
143,143,1.0,True,True,1,0.01230756721301809,0.0,TimesNet+ModernTCN
144,144,1.0,True,True,1,0.012025823864052185,0.0,TimesNet+ModernTCN
145,145,1.0,True,True,1,0.01175808103278161,0.0,TimesNet+ModernTCN
146,146,1.0,True,True,1,0.011537818091044372,0.0,TimesNet+ModernTCN
147,147,1.0,True,True,1,0.01133735076435407,0.0,TimesNet+ModernTCN
148,148,1.0,True,True,1,0.011178600048349417,0.0,TimesNet+ModernTCN
149,149,1.0,True,True,1,0.011070370875977387,0.0,TimesNet+ModernTCN
150,150,1.0,True,True,1,0.011048546978237043,0.0,TimesNet+ModernTCN
151,151,1.0,True,True,1,0.011020732856237671,0.0,TimesNet+ModernTCN
152,152,1.0,True,True,1,0.010962536118091427,0.0,TimesNet+ModernTCN
153,153,1.0,True,True,1,0.010921486392403458,0.0,TimesNet+ModernTCN
154,154,1.0,True,True,1,0.010877742585753011,0.0,TimesNet+ModernTCN
155,155,1.0,True,True,1,0.010817325374420294,0.0,TimesNet+ModernTCN
156,156,1.0,True,True,1,0.010786144003775533,0.0,TimesNet+ModernTCN
157,157,1.0,True,True,1,0.010637481405569959,0.0,TimesNet+ModernTCN
158,158,1.0,True,True,1,0.010647784347131619,0.0,TimesNet+ModernTCN
159,159,1.0,True,True,1,0.010501340334732632,0.0,TimesNet+ModernTCN
160,160,1.0,True,True,1,0.01050520386454771,0.0,TimesNet+ModernTCN
161,161,1.0,True,True,1,0.010516462427234429,0.0,TimesNet+ModernTCN
162,162,1.0,True,True,1,0.010453666741539394,0.0,TimesNet+ModernTCN
163,163,1.0,True,True,1,0.010409549161557907,0.0,TimesNet+ModernTCN
164,164,1.0,True,True,1,0.010424779530049158,0.0,TimesNet+ModernTCN
165,165,1.0,True,True,1,0.010395905252082258,0.0,TimesNet+ModernTCN
166,166,1.0,True,True,1,0.010208331111153476,0.0,TimesNet+ModernTCN
167,167,1.0,True,True,1,0.009917769191588733,0.0,TimesNet+ModernTCN
168,168,1.0,True,True,1,0.009545217794150814,0.0,TimesNet+ModernTCN
169,169,1.0,True,True,1,0.009155053440585093,0.0,TimesNet+ModernTCN
170,170,1.0,True,True,1,0.008779395617202326,0.0,TimesNet+ModernTCN
171,171,1.0,True,True,1,0.008441561052488212,0.0,TimesNet+ModernTCN
172,172,1.0,True,True,1,0.008128482692692387,0.0,TimesNet+ModernTCN
173,173,1.0,True,True,1,0.007905695405865245,0.0,TimesNet+ModernTCN
174,174,1.0,True,True,1,0.00769691171687704,0.0,TimesNet+ModernTCN
175,175,1.0,True,True,1,0.007611203109425944,0.0,TimesNet+ModernTCN
176,176,1.0,True,True,1,0.007592874802673108,0.0,TimesNet+ModernTCN
177,177,1.0,True,True,1,0.0075602697783357774,0.0,TimesNet+ModernTCN
178,178,1.0,True,True,1,0.007666771008412494,0.0,TimesNet+ModernTCN
179,179,1.0,True,True,1,0.007882705182302132,0.0,TimesNet+ModernTCN
180,180,1.0,True,True,1,0.007934299445342675,0.0,TimesNet+ModernTCN
181,181,1.0,True,True,1,0.008338891455335541,0.0,TimesNet+ModernTCN
182,182,1.0,True,True,1,0.008376332770973249,0.0,TimesNet+ModernTCN
183,183,1.0,True,True,1,0.008362796757454268,0.0,TimesNet+ModernTCN
184,184,1.0,True,True,1,0.008285860215941057,0.0,TimesNet+ModernTCN
185,185,1.0,True,True,1,0.008183717284542844,0.0,TimesNet+ModernTCN
186,186,1.0,True,True,1,0.008086481475845241,0.0,TimesNet+ModernTCN
187,187,1.0,True,True,1,0.00797536570950065,0.0,TimesNet+ModernTCN
188,188,1.0,True,True,1,0.007814120450680164,0.0,TimesNet+ModernTCN
