split,fixed_pair,improvement_margin,useful_switch_percentage,average_improvement_on_useful_windows,total_improvement_on_useful_windows
router_val,DLinear+ModernTCN,0.001,66.88417792320251,0.019797593355178833,8.117012977600098
router_val,DLinear+ModernTCN,0.005,56.28058910369873,0.023002132773399353,7.935735702514648
router_val,DLinear+ModernTCN,0.01,42.74061918258667,0.027836093679070473,7.293056488037109
router_val,DLinear+ModernTCN,0.025,18.76019537448883,0.04257580637931824,4.8962178230285645
router_val,DLinear+ModernTCN,0.05,4.730831831693649,0.06581521034240723,1.9086410999298096
router_val,DLinear+ModernTCN,0.0,69.98368501663208,0.018945325165987015,8.127544403076172
