split,rank,expert,mae,mse,mean_per_window_mae,std_per_window_mae,median_per_window_mae,best_window_percentage,average_regret_to_oracle_expert,average_experts_used,training_selected_best_fixed_expert,validation_best_expert_diagnostic
router_train,1,DLinear,0.2802519202232361,0.1754102110862732,0.2802519202232361,0.08927459269762039,0.26088014245033264,40.233802795410156,0.018656136468052864,1.0,True,True
router_train,2,ModernTCN,0.29331421852111816,0.19240912795066833,0.29331421852111816,0.09598390012979507,0.2730650007724762,23.81880134344101,0.031718432903289795,1.0,False,False
router_train,3,TimesNet,0.302920401096344,0.20140483975410461,0.302920401096344,0.10215187072753906,0.27878910303115845,20.55528461933136,0.041324641555547714,1.0,False,False
router_train,4,PatchTST,0.3185994327068329,0.21882295608520508,0.3185994327068329,0.09376490116119385,0.2996227741241455,10.716025531291962,0.057003650814294815,1.0,False,False
router_train,5,iTransformer,0.4391360580921173,0.5369023084640503,0.4391360580921173,0.14586417376995087,0.4388759732246399,4.6760838478803635,0.17754033207893372,1.0,False,False
router_val,1,DLinear,0.28095653653144836,0.17149297893047333,0.28095653653144836,0.10475488752126694,0.25971001386642456,46.655791997909546,0.017295680940151215,1.0,True,True
router_val,2,ModernTCN,0.2884684205055237,0.17818495631217957,0.2884684205055237,0.11425291001796722,0.2629236876964569,29.363784193992615,0.024807576090097427,1.0,False,False
router_val,3,TimesNet,0.2974792420864105,0.18788261711597443,0.2974792420864105,0.11178102344274521,0.2700924873352051,17.618270218372345,0.03381841629743576,1.0,False,False
router_val,4,PatchTST,0.33629003167152405,0.2371973991394043,0.33629003167152405,0.11127550899982452,0.31551995873451233,6.199021264910698,0.07262919843196869,1.0,False,False
router_val,5,iTransformer,0.503355860710144,0.7096318602561951,0.503355860710144,0.13009895384311676,0.48293018341064453,0.16313213855028152,0.23969507217407227,1.0,False,False
