split,row,DLinear,PatchTST,iTransformer,TimesNet,ModernTCN
router_train,DLinear,0.0,0.8090599179267883,0.8986848592758179,0.6527033448219299,0.5923039317131042
router_train,PatchTST,0.19094008207321167,0.0,0.832927405834198,0.3726254403591156,0.32683876156806946
router_train,iTransformer,0.10131514817476273,0.1670725792646408,0.0,0.22552362084388733,0.18753044307231903
router_train,TimesNet,0.3472966253757477,0.6273745894432068,0.7744763493537903,0.0,0.41305407881736755
router_train,ModernTCN,0.40769606828689575,0.6731612086296082,0.8124695420265198,0.5869459509849548,0.0
router_val,DLinear,0.0,0.8874388337135315,0.9983686804771423,0.6427406072616577,0.5872756838798523
router_val,PatchTST,0.1125611737370491,0.0,0.9934747219085693,0.2577487826347351,0.2202283889055252
router_val,iTransformer,0.0016313213855028152,0.006525285542011261,0.0,0.006525285542011261,0.0032626427710056305
router_val,TimesNet,0.3572593927383423,0.7422512173652649,0.9934747219085693,0.0,0.38662317395210266
router_val,ModernTCN,0.4127243161201477,0.779771625995636,0.9967373609542847,0.6133768558502197,0.0
