split,pair,expert_a,expert_b,pair_mae,better_constituent_mae,worse_constituent_mae,gain_over_better,gain_over_worse,per_window_complementarity_rate,per_window_harm_rate,average_conditional_improvement
router_train,DLinear+ModernTCN,DLinear,ModernTCN,0.27899932861328125,0.2802519202232361,0.29331421852111816,0.001252591609954834,0.014314889907836914,29.17681336402893,0.0,0.005157201550900936
router_train,DLinear+TimesNet,DLinear,TimesNet,0.2809799313545227,0.2802519202232361,0.302920401096344,-0.0007280111312866211,0.02194046974182129,31.90453052520752,0.0,0.00705954572185874
router_train,DLinear+PatchTST,DLinear,PatchTST,0.28977662324905396,0.2802519202232361,0.3185994327068329,-0.009524703025817871,0.02882280945777893,22.454944252967834,0.0,0.006468601059168577
router_train,PatchTST+ModernTCN,PatchTST,ModernTCN,0.2909180223941803,0.29331421852111816,0.3185994327068329,0.002396196126937866,0.027681410312652588,30.686798691749573,0.0,0.009789852425456047
router_train,TimesNet+ModernTCN,TimesNet,ModernTCN,0.2915290594100952,0.29331421852111816,0.302920401096344,0.0017851591110229492,0.01139134168624878,29.274234175682068,0.0,0.005186918191611767
router_train,PatchTST+TimesNet,PatchTST,TimesNet,0.2938653528690338,0.302920401096344,0.3185994327068329,0.00905504822731018,0.024734079837799072,35.947394371032715,0.0,0.01098575908690691
router_train,DLinear+iTransformer,DLinear,iTransformer,0.33693593740463257,0.2802519202232361,0.4391360580921173,-0.056684017181396484,0.10220012068748474,10.862153023481369,0.0,0.010089055635035038
router_train,iTransformer+ModernTCN,iTransformer,ModernTCN,0.33810943365097046,0.29331421852111816,0.4391360580921173,-0.044795215129852295,0.10102662444114685,16.950803995132446,0.0,0.016850577667355537
router_train,iTransformer+TimesNet,iTransformer,TimesNet,0.33964502811431885,0.302920401096344,0.4391360580921173,-0.036724627017974854,0.09949102997779846,18.704335391521454,0.0,0.018018625676631927
router_train,PatchTST+iTransformer,PatchTST,iTransformer,0.3670032024383545,0.3185994327068329,0.4391360580921173,-0.048403769731521606,0.07213285565376282,10.034096240997314,0.0,0.006470971740782261
router_val,DLinear+ModernTCN,DLinear,ModernTCN,0.2752290368080139,0.28095653653144836,0.2884684205055237,0.005727499723434448,0.013239383697509766,36.05220317840576,0.0,0.005990107078105211
router_val,DLinear+TimesNet,DLinear,TimesNet,0.27765217423439026,0.28095653653144836,0.2974792420864105,0.0033043622970581055,0.019827067852020264,39.31484520435333,0.0,0.007642311044037342
router_val,TimesNet+ModernTCN,TimesNet,ModernTCN,0.2867596745491028,0.2884684205055237,0.2974792420864105,0.0017087459564208984,0.01071956753730774,32.626426219940186,0.0,0.00470665143802762
router_val,PatchTST+ModernTCN,PatchTST,ModernTCN,0.2908872663974762,0.2884684205055237,0.33629003167152405,-0.0024188458919525146,0.04540276527404785,36.05220317840576,0.0,0.01345392782241106
router_val,PatchTST+TimesNet,PatchTST,TimesNet,0.2928774952888489,0.2974792420864105,0.33629003167152405,0.0046017467975616455,0.04341253638267517,46.00326120853424,0.0,0.01661476492881775
router_val,DLinear+PatchTST,DLinear,PatchTST,0.29431185126304626,0.28095653653144836,0.33629003167152405,-0.0133553147315979,0.04197818040847778,23.00163060426712,0.0,0.009697500616312027
router_val,iTransformer+TimesNet,iTransformer,TimesNet,0.35644811391830444,0.2974792420864105,0.503355860710144,-0.05896887183189392,0.1469077467918396,10.603588819503784,0.0,0.03221406787633896
router_val,iTransformer+ModernTCN,iTransformer,ModernTCN,0.3565175533294678,0.2884684205055237,0.503355860710144,-0.06804913282394409,0.14683830738067627,8.972267806529999,0.0,0.01811080612242222
router_val,DLinear+iTransformer,DLinear,iTransformer,0.3611144423484802,0.28095653653144836,0.503355860710144,-0.08015790581703186,0.14224141836166382,3.425774723291397,0.0,0.023022498935461044
router_val,PatchTST+iTransformer,PatchTST,iTransformer,0.40625444054603577,0.33629003167152405,0.503355860710144,-0.06996440887451172,0.09710142016410828,1.7944535240530968,0.0,0.01738795079290867
