split,rank,subset,subset_size,mae,mse,mean_per_window_mae,std_per_window_mae,median_per_window_mae,average_regret_to_oracle_subset,best_window_percentage,average_experts_used
router_train,1,DLinear+TimesNet+ModernTCN,3,0.28098684549331665,0.17691384255886078,0.28098684549331665,0.09383067488670349,0.2608513832092285,0.014525137841701508,37.652215361595154,3.0
router_train,2,DLinear+PatchTST+ModernTCN,3,0.2825974225997925,0.17576490342617035,0.2825974225997925,0.08933521062135696,0.2656420171260834,0.01613573543727398,16.561129689216614,3.0
router_train,3,DLinear+PatchTST+TimesNet,3,0.2836291193962097,0.17677155137062073,0.2836291193962097,0.09124976396560669,0.26507917046546936,0.01716747134923935,12.859229743480682,3.0
router_train,4,PatchTST+TimesNet+ModernTCN,3,0.28759831190109253,0.1811532974243164,0.28759831190109253,0.09270448237657547,0.26897817850112915,0.02113666944205761,7.744763791561127,3.0
router_train,5,DLinear+iTransformer+ModernTCN,3,0.3079454004764557,0.21394452452659607,0.3079454004764557,0.09423777461051941,0.2905453145503998,0.041483763605356216,6.1860691756010056,3.0
router_train,6,DLinear+iTransformer+TimesNet,3,0.30832016468048096,0.21440738439559937,0.30832016468048096,0.09545684605836868,0.2895592749118805,0.041858524084091187,5.358012765645981,3.0
router_train,7,iTransformer+TimesNet+ModernTCN,3,0.31181609630584717,0.2176945060491562,0.31181609630584717,0.09599515795707703,0.29277366399765015,0.045354414731264114,3.0686799436807632,3.0
router_train,8,PatchTST+iTransformer+ModernTCN,3,0.3248292803764343,0.24173641204833984,0.3248292803764343,0.09711401164531708,0.30806905031204224,0.058367617428302765,1.2177301570773125,3.0
router_train,9,DLinear+PatchTST+iTransformer,3,0.3252374827861786,0.24462172389030457,0.3252374827861786,0.09844355285167694,0.3071037530899048,0.05877580866217613,7.939600944519043,3.0
router_train,10,PatchTST+iTransformer+TimesNet,3,0.32572105526924133,0.2426752746105194,0.32572105526924133,0.09816949814558029,0.3075891137123108,0.05925935134291649,1.4125669375061989,3.0
router_val,1,DLinear+TimesNet+ModernTCN,3,0.27664366364479065,0.16693221032619476,0.27664366364479065,0.10951077938079834,0.25294575095176697,0.010611400939524174,45.67699730396271,3.0
router_val,2,DLinear+PatchTST+ModernTCN,3,0.2808784246444702,0.17193280160427094,0.2808784246444702,0.10692493617534637,0.25889626145362854,0.01484614983201027,18.433931469917297,3.0
router_val,3,DLinear+PatchTST+TimesNet,3,0.28182318806648254,0.17209619283676147,0.28182318806648254,0.10590528696775436,0.2598428726196289,0.015790944918990135,17.45513826608658,3.0
router_val,4,PatchTST+TimesNet+ModernTCN,3,0.2833086848258972,0.17327751219272614,0.2833086848258972,0.10815054923295975,0.2604629099369049,0.017276443541049957,9.624796360731125,3.0
router_val,5,DLinear+iTransformer+TimesNet,3,0.3154957592487335,0.22426819801330566,0.3154957592487335,0.10774805396795273,0.2934931218624115,0.04946351796388626,1.4681892469525337,3.0
router_val,6,DLinear+iTransformer+ModernTCN,3,0.31570035219192505,0.22592099010944366,0.31570035219192505,0.10907013714313507,0.2916794419288635,0.0496680848300457,3.5889070481061935,3.0
router_val,7,iTransformer+TimesNet+ModernTCN,3,0.3157004415988922,0.22396957874298096,0.3157004415988922,0.11046841740608215,0.28933092951774597,0.04966815933585167,3.2626427710056305,3.0
router_val,8,PatchTST+iTransformer+TimesNet,3,0.34190189838409424,0.2661374807357788,0.34190189838409424,0.10999784618616104,0.3195105195045471,0.07586966454982758,0.0,3.0
router_val,9,PatchTST+iTransformer+ModernTCN,3,0.34201833605766296,0.2687334716320038,0.34201833605766296,0.11180230230093002,0.3209529221057892,0.0759860947728157,0.0,3.0
router_val,10,DLinear+PatchTST+iTransformer,3,0.3458854854106903,0.2751407325267792,0.3458854854106903,0.1100677028298378,0.32203665375709534,0.07985325157642365,0.4893964156508446,3.0
