split,row,DLinear,PatchTST,iTransformer,TimesNet,ModernTCN
router_train,DLinear,1.0,0.871159276775683,0.5905318072892572,0.8709508433695227,0.8962901954801888
router_train,PatchTST,0.871159276775683,1.0,0.8528645286374519,0.7804933411441397,0.7917808692889846
router_train,iTransformer,0.5905318072892572,0.8528645286374518,1.0,0.49511184461270036,0.5177516616034966
router_train,TimesNet,0.8709508433695226,0.7804933411441397,0.49511184461270036,1.0,0.93036899045894
router_train,ModernTCN,0.896290195480189,0.7917808692889846,0.5177516616034966,0.9303689904589401,1.0
router_val,DLinear,1.0,0.8360341209821842,0.4962685415602754,0.8684879591870169,0.892286199247427
router_val,PatchTST,0.8360341209821843,1.0,0.833198034774102,0.7175315805897544,0.7574037983030221
router_val,iTransformer,0.49626854156027544,0.833198034774102,0.9999999999999999,0.39157366388817505,0.4418583807771456
router_val,TimesNet,0.8684879591870169,0.7175315805897544,0.3915736638881751,0.9999999999999999,0.9325487343880753
router_val,ModernTCN,0.8922861992474271,0.757403798303022,0.4418583807771456,0.9325487343880753,1.0
