split,row,DLinear,PatchTST,iTransformer,TimesNet,ModernTCN
router_train,DLinear,0.9999999999999999,0.8740706283377612,0.5370641093899431,0.8353538726455185,0.8700965887769305
router_train,PatchTST,0.8740706283377612,1.0,0.691685575099207,0.7254743212223256,0.7389889093741496
router_train,iTransformer,0.5370641093899431,0.6916855750992071,1.0,0.3388297815017695,0.3690877195722351
router_train,TimesNet,0.8353538726455185,0.7254743212223255,0.33882978150176946,1.0,0.930897762061994
router_train,ModernTCN,0.8700965887769306,0.7389889093741497,0.3690877195722351,0.9308977620619941,1.0
router_val,DLinear,1.0,0.9041504543308688,0.7709320659791106,0.9100769679709244,0.918896369373354
router_val,PatchTST,0.9041504543308689,1.0,0.8624462445130838,0.8539259336880634,0.8543423878423894
router_val,iTransformer,0.7709320659791106,0.8624462445130838,1.0,0.7483502912736423,0.7834514929451923
router_val,TimesNet,0.9100769679709244,0.8539259336880632,0.7483502912736423,1.0,0.9451705214788584
router_val,ModernTCN,0.918896369373354,0.8543423878423894,0.7834514929451923,0.9451705214788584,1.0
