epoch,train_loss,no_threshold_val_mae,threshold_val_mae,selected_threshold,threshold_switch_rate
1,0.07921512491540159,0.36136946082115173,0.35176658630371094,0.5986172556877136,0.0
2,0.013204323927632815,0.36077407002449036,0.35176658630371094,0.6050753593444824,0.0
3,0.007179220308877684,0.3565332293510437,0.35176658630371094,0.585739016532898,0.0
4,0.004816517927463874,0.35794955492019653,0.35176658630371094,0.6910313963890076,0.0
5,0.0034422452920613218,0.356360524892807,0.351544588804245,0.5467436611652374,12.561175227165222
6,0.0028394109385085366,0.3569372296333313,0.35098257660865784,0.4738047122955322,12.561175227165222
7,0.0023929367855910705,0.35555654764175415,0.35104843974113464,0.46748605370521545,12.561175227165222
8,0.0019865589955444206,0.3565080165863037,0.3509758412837982,0.47292816638946533,15.00815600156784
9,0.0019002718062147306,0.35671308636665344,0.3509059548377991,0.469729483127594,12.561175227165222
10,0.001791970507539827,0.35656559467315674,0.3511134088039398,0.42694512009620667,12.561175227165222
11,0.0016730612288358454,0.3565364181995392,0.35114288330078125,0.4420064091682434,12.561175227165222
12,0.0016312309708598233,0.35661581158638,0.35126975178718567,0.44353118538856506,12.561175227165222
13,0.0015862094860113849,0.35686954855918884,0.35131382942199707,0.421034562587738,10.114192217588425
14,0.0016073013383062049,0.3569270968437195,0.3513169288635254,0.39462382793426515,20.065252482891083
15,0.001544056171576297,0.3579801321029663,0.3513879179954529,0.45868462920188907,7.50407800078392
16,0.0016668637596044455,0.3579133152961731,0.3513072431087494,0.38695524334907533,22.51223474740982
17,0.0016016847500169293,0.3563810884952545,0.3514123260974884,0.39529871344566353,10.114192217588425
18,0.001551134349028428,0.35774853825569153,0.3513856530189514,0.34212406873703005,20.065252482891083
19,0.0015019815905868855,0.35634344816207886,0.3514643907546997,0.38664165139198314,5.057096108794212
