epoch,train_loss,no_threshold_val_mae,threshold_val_mae,selected_threshold,threshold_switch_rate
1,0.06552112126551456,0.3588433265686035,0.35176658630371094,0.9062520861625671,0.0
2,0.009368979869500216,0.3611893653869629,0.3517577052116394,0.80515296459198,5.057096108794212
3,0.004112077661900188,0.3614214360713959,0.35176265239715576,0.7043651103973388,10.114192217588425
4,0.003924918899478647,0.3611505925655365,0.35176658630371094,0.7679443359375,0.0
5,0.0026047512888001108,0.35526877641677856,0.35176658630371094,0.7511659860610962,0.0
6,0.002560172654328622,0.35553550720214844,0.35176658630371094,0.756182074546814,0.0
7,0.0020792276415469452,0.3618447780609131,0.35176658630371094,0.7485487461090088,0.0
8,0.0018365541867130647,0.35735952854156494,0.35176658630371094,0.6749697923660278,0.0
9,0.0018259052284056465,0.3559671640396118,0.35176658630371094,0.68913334608078,0.0
10,0.0017257000396098021,0.3554932773113251,0.35176658630371094,0.6665224432945251,0.0
11,0.0017275351549453826,0.3616780936717987,0.35176658630371094,0.6391395330429077,0.0
12,0.0017125036521972177,0.3593812584877014,0.35176658630371094,0.6383746266365051,0.0
