epoch,train_loss,no_threshold_val_mae,threshold_val_mae,selected_threshold,threshold_switch_rate
1,0.06447690221423413,0.3593105673789978,0.35138174891471863,0.9372697949409486,2.6101142168045044
2,0.011323744122209314,0.3645944893360138,0.3511675000190735,0.7181009769439697,5.057096108794212
3,0.0063426091759413465,0.35817432403564453,0.35176658630371094,0.76250159740448,0.0
4,0.0048761996674213945,0.36225372552871704,0.35176658630371094,0.7421548962593079,0.0
5,0.0028609880044352296,0.360623300075531,0.35176658630371094,0.7078686356544495,0.0
6,0.0027569515717474863,0.35930147767066956,0.35176658630371094,0.6932926177978516,0.0
7,0.0021740677333842912,0.3627755343914032,0.35176658630371094,0.6649171113967896,0.0
8,0.002099279892273407,0.3613601624965668,0.35176658630371094,0.6970188021659851,0.0
9,0.0018313037851576761,0.3583284318447113,0.35176658630371094,0.6571481823921204,0.0
10,0.0018326269975147554,0.3598388433456421,0.35176658630371094,0.6428393125534058,0.0
11,0.001640072141463709,0.3572148382663727,0.35176658630371094,0.6380855441093445,0.0
12,0.0015937624726532036,0.3596695363521576,0.35176658630371094,0.6311494708061218,0.0
