epoch,train_loss,no_threshold_val_mae,threshold_val_mae,selected_threshold,threshold_switch_rate
1,0.07691372559654004,0.3623132109642029,0.35176658630371094,0.5533003211021423,0.0
2,0.012625637455606135,0.35443657636642456,0.3512085974216461,0.45241208374500275,2.6101142168045044
3,0.007646879956082664,0.3569575846195221,0.35176658630371094,0.28770503401756287,0.0
4,0.004589982936068048,0.3619832396507263,0.35176658630371094,0.2494446188211441,0.0
5,0.003442822813219266,0.3522212505340576,0.35176658630371094,0.28731608390808105,0.0
6,0.0027066808054654616,0.3556765615940094,0.35176658630371094,0.3840370774269104,0.0
7,0.0024251294578845205,0.35566461086273193,0.35176658630371094,0.378387451171875,0.0
8,0.0021357967215919066,0.35373398661613464,0.35176658630371094,0.30464887619018555,0.0
9,0.0018505577264622188,0.3527178466320038,0.35123294591903687,0.22221376895904546,7.50407800078392
10,0.001800175621881954,0.3521801233291626,0.35151323676109314,0.2258921504020692,5.057096108794212
11,0.0016910732298258363,0.352318674325943,0.35176658630371094,0.27258574962615967,0.0
12,0.0016591989599019506,0.3530748784542084,0.35176658630371094,0.2405356764793396,0.0
