threshold,selected_pair_mae,selected_pair_mse,improvement_over_fixed_pair,switch_rate,selected_switch_win_rate,predicted_actual_improvement_correlation,beneficial_switch_auc
-inf,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
-0.05,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
-0.025,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
-0.01,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
-0.005,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
-0.001,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
0.0,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
0.001,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
0.005,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
0.01,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
0.025,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
0.05,0.35443657636642456,0.31095412373542786,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034
0.13799871504306793,0.35439953207969666,0.31096744537353516,-0.0026329755783081055,99.83686804771423,47.05882370471954,-0.2593090832233429,0.40284188034188034
0.15876080542802812,0.3555320203304291,0.3138805329799652,-0.0037654638290405273,97.38988876342773,45.728641748428345,-0.2593090832233429,0.40284188034188034
0.1763402283191681,0.35601624846458435,0.31573668122291565,-0.004249691963195801,94.94290351867676,45.36082446575165,-0.2593090832233429,0.40284188034188034
0.18466526269912723,0.3563723862171173,0.3160993158817291,-0.00460582971572876,92.49592423439026,44.6208119392395,-0.2593090832233429,0.40284188034188034
0.19531919956207275,0.3571613132953644,0.3170653283596039,-0.00539475679397583,89.88580703735352,43.557170033454895,-0.2593090832233429,0.40284188034188034
