epoch,train_loss,router_val_selected_pair_mae,router_val_selected_pair_mse,router_val_exact_best_pair_accuracy
1,1.2237229324002645,0.35595375299453735,0.3233036994934082,11.25611737370491
2,1.0952642592231763,0.35707810521125793,0.3246481418609619,11.419249325990677
3,1.0662554696136954,0.35969260334968567,0.32791003584861755,9.951060265302658
4,1.048138150283899,0.3591696321964264,0.3275536298751831,10.76672077178955
5,1.0231401477566127,0.3628687262535095,0.32806479930877686,13.866232335567474
6,1.013802987972934,0.3631290793418884,0.3337942957878113,14.029364287853241
7,1.0052118148678288,0.3604656755924225,0.33005982637405396,16.639478504657745
8,0.9890254903176443,0.3574298024177551,0.3221292495727539,16.639478504657745
9,0.9849000618739995,0.35477733612060547,0.31793487071990967,13.866232335567474
10,0.973811545896925,0.35427168011665344,0.3131128251552582,12.23491057753563
11,0.9605656120176729,0.3558213412761688,0.3162391483783722,11.908645927906036
12,0.9575107720672823,0.3544880449771881,0.3141736388206482,11.25611737370491
13,0.9535470821192017,0.35488930344581604,0.3154178857803345,10.440456867218018
14,0.9454231112397014,0.35362887382507324,0.3144288659095764,13.050571084022522
15,0.9383733406104057,0.35374411940574646,0.3149755001068115,14.355628192424774
16,0.9254186980270259,0.35700225830078125,0.3227373957633972,13.703098893165588
17,0.9315033007179071,0.3594500720500946,0.3305758237838745,14.029364287853241
18,0.9201295131947201,0.3585225045681,0.3282861113548279,13.866232335567474
19,0.9220420884551853,0.3592510223388672,0.32761910557746887,12.071777880191803
20,0.911333339886728,0.35963478684425354,0.3258171081542969,8.319739252328873
21,0.9002443229170817,0.3609415888786316,0.33063605427742004,13.050571084022522
22,0.8952864351007802,0.3605279326438904,0.3309093415737152,13.539966940879822
23,0.8949557913841995,0.35460200905799866,0.32057538628578186,15.171289443969727
24,0.8824307534732995,0.3629564940929413,0.33456629514694214,10.440456867218018
