ci95_high,ci95_low,ci_excludes_zero,clip_frequency,comparison_anchor,dataset,diff_vs_anchor,diff_vs_existing_corrector_mae,diff_vs_fixed_core_mae,diff_vs_full_adaptive_mae,diff_vs_validation,expert_set,label,mae,mean_abs_applied_delta_norm,mean_abs_delta_norm,method,mse,num_residual_stat_updates,result_group,router_train_mae,router_train_mse,router_train_selection_rule,seed_mae_mean,seed_mae_std,seeds,selected_config,selection_protocol,source,source_file,split,status,test_mae,test_mse,validation_mae,validation_mse,variant
-0.0002019320527324453,-0.0010760839795693755,True,,Train-selected fixed core,ETTh1,-0.0006348490715026855,,,,-0.03714829683303833,PatchTST+iTransformer+TimesNet,,,,,Horizon-variable hybrid,,,frozen_model_test_results,,,,0.3264958500862122,0.00001930172344248216,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3264932632446289,0.26763829588890076,0.36364156007766724,0.3067120909690857,
-0.00033090030774474144,-0.0008279238827526569,True,,Train-selected fixed core,ETTh1,-0.0005798935890197754,,,,-0.03898566961288452,PatchTST+iTransformer+TimesNet,,,,,Chronological EMA hybrid,,,frozen_model_test_results,,,,0.32659226655960083,0.00006240097626792242,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3265482187271118,0.26664260029792786,0.36553388833999634,0.3083403706550598,
0.00006174301961436868,-0.0006622763467021286,False,,Train-selected fixed core,ETTh1,-0.0002993643283843994,,,,-0.039199501276016235,PatchTST+iTransformer+TimesNet,,,,,Oracle prototype residual,,,frozen_model_test_results,,,,0.32699716091156006,0.0003066113783120191,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3268287479877472,0.2673642635345459,0.3660282492637634,0.308755099773407,
0.0,0.0,False,,Train-selected fixed core,ETTh1,0.0,,,,-0.04013678431510925,PatchTST+iTransformer+TimesNet,,,,,Fixed core equal,,,frozen_model_test_results,,,,,,0,,anchor: train-selected fixed core,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3271281123161316,0.26658302545547485,0.36726489663124084,0.3105303645133972,
0.0028381722513586283,0.0014037502696737647,True,,Train-selected fixed core,ETTh1,0.0021211206912994385,,,,-0.03673604130744934,PatchTST+iTransformer+TimesNet,,,,,Dynamic fixed3 seed7,,,frozen_model_test_results,,,,,,1,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.32924923300743103,0.27206283807754517,0.36598527431488037,0.3088900148868561,
-0.003058900125324726,-0.004750141873955727,True,,Single DLinear,ETTh2,-0.00389939546585083,,,,0.020976006984710693,DLinear+PatchTST+ModernTCN,,,,,Full adaptive train-selected fixed3 final frozen,,,frozen_model_test_results,,,,,,,,preregistered final ETTh2 model; train-selected fixed-3 core,experiments/frozen_model_test_results/etth2_top_costar_test_results.csv,,,pre_test_frozen,0.29780814051628113,0.21861225366592407,0.27683213353157043,0.16727977991104126,
-0.0018187797395512462,-0.004762139171361923,True,,Single DLinear,ETTh2,-0.003309786319732666,,,,0.020745575428009033,DLinear+TimesNet,,,,,Fixed2 DLinear+TimesNet reference,,,frozen_model_test_results,,,,,,,,validation-ranked fixed reference,experiments/frozen_model_test_results/etth2_top_costar_test_results.csv,,,pre_test_frozen,0.2983977496623993,0.22192580997943878,0.27765217423439026,0.1678023487329483,
-0.0008434439077973366,-0.004166011232882738,True,,Single DLinear,ETTh2,-0.0025385022163391113,,,,0.022525399923324585,DLinear+TimesNet+ModernTCN,,,,,Fixed3 DLinear+TimesNet+ModernTCN validation-selected reference,,,frozen_model_test_results,,,,,,,,validation-selected fixed-3 reference only,experiments/frozen_model_test_results/etth2_top_costar_test_results.csv,,,pre_test_frozen,0.29916903376579285,0.22392715513706207,0.27664363384246826,0.16693221032619476,
-0.0012171287089586258,-0.0036483556032180786,True,,Single DLinear,ETTh2,-0.002444535493850708,,,,0.024033963680267334,DLinear+ModernTCN,,,,,Fixed2 DLinear+ModernTCN validation-selected reference,,,frozen_model_test_results,,,,,,,,validation-selected reference only,experiments/frozen_model_test_results/etth2_top_costar_test_results.csv,,,pre_test_frozen,0.29926300048828125,0.2218528687953949,0.2752290368080139,0.1653451770544052,
-0.0005703463684767485,-0.0006591207929886878,True,,Single DLinear,ETTh2,-0.0006145834922790527,,,,0.020623385906219482,DLinear,,,,,Full adaptive variable-size core DLinear,,,frozen_model_test_results,,,,,,,,router-train variable-size selected single core; frozen-model test result,experiments/frozen_model_test_results/etth2_top_costar_test_results.csv,,,pre_test_frozen,0.3010929524898529,0.2221386581659317,0.2804695665836334,0.1709725558757782,
0.0,0.0,False,,Single DLinear,ETTh2,0.0,,,,0.020750999450683594,DLinear,,,,,Single DLinear,,,frozen_model_test_results,,,,,,,,canonical validation-best single anchor,experiments/frozen_model_test_results/etth2_top_costar_test_results.csv,,,pre_test_frozen,0.30170753598213196,0.22269397974014282,0.28095653653144836,0.17149297893047333,
0.004071089904755354,0.0018182926578447223,True,,Single DLinear,ETTh2,0.0029345154762268066,,,,0.023763656616210938,DLinear+PatchTST+ModernTCN,,,,,Fixed3 DLinear+PatchTST+ModernTCN train-selected,,,frozen_model_test_results,,,,,,,,router-train selected fixed-3 core,experiments/frozen_model_test_results/etth2_top_costar_test_results.csv,,,pre_test_frozen,0.30464205145835876,0.22518514096736908,0.2808783948421478,0.17193281650543213,
,,,,Best single DLinear,ETTh2,-0.005727499723434448,,,,,DLinear+ModernTCN,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2752290368080139,0.1653451770544052,
,,,,Best single DLinear,ETTh2,-0.0043129026889801025,,,,,DLinear+TimesNet+ModernTCN,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.27664363384246826,0.16693221032619476,
,,,,Best single DLinear,ETTh2,-0.0033043622970581055,,,,,DLinear+TimesNet,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.27765217423439026,0.1678023487329483,
,,,,Best single DLinear,ETTh2,-0.0032754242420196533,,,,,DLinear+PatchTST+TimesNet+ModernTCN,,,,,Fixed 4 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2776811122894287,0.16823096573352814,
,,,,Best single DLinear,ETTh2,-0.00007814168930053711,,,,,DLinear+PatchTST+ModernTCN,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2808783948421478,0.17193281650543213,
,,,,Best single DLinear,ETTh2,0.0,,,,,DLinear,,,,,Single expert,,,etth2_canonical_validation,,,,,,,,canonical raw single expert baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.28095653653144836,0.17149297893047333,
,,,,Best single DLinear,ETTh2,0.0008666813373565674,,,,,DLinear+PatchTST+TimesNet,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.28182321786880493,0.17209620773792267,
,,,,Best single DLinear,ETTh2,0.0023521482944488525,,,,,PatchTST+TimesNet+ModernTCN,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2833086848258972,0.17327752709388733,
,,,,Best single DLinear,ETTh2,0.005803138017654419,,,,,TimesNet+ModernTCN,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2867596745491028,0.17684003710746765,
,,,,Best single DLinear,ETTh2,0.007511883974075317,,,,,ModernTCN,,,,,Single expert,,,etth2_canonical_validation,,,,,,,,canonical raw single expert baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2884684205055237,0.17818495631217957,
,,,,Best single DLinear,ETTh2,0.009930729866027832,,,,,PatchTST+ModernTCN,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2908872663974762,0.1817578375339508,
,,,,Best single DLinear,ETTh2,0.011920958757400513,,,,,PatchTST+TimesNet,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2928774952888489,0.18209275603294373,
,,,,Best single DLinear,ETTh2,0.0133553147315979,,,,,DLinear+PatchTST,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.29431185126304626,0.1864645928144455,
,,,,Best single DLinear,ETTh2,0.016522705554962158,,,,,TimesNet,,,,,Single expert,,,etth2_canonical_validation,,,,,,,,canonical raw single expert baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2974792420864105,0.18788260221481323,
,,,,Best single DLinear,ETTh2,0.01699727773666382,,,,,DLinear+iTransformer+TimesNet+ModernTCN,,,,,Fixed 4 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.2979538142681122,0.19758206605911255,
,,,,Best single DLinear,ETTh2,0.019815683364868164,,,,,DLinear+PatchTST+iTransformer+TimesNet+ModernTCN,,,,,Fixed 5 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.30077221989631653,0.2008334994316101,
,,,,Best single DLinear,ETTh2,0.033692628145217896,,,,,PatchTST+iTransformer+TimesNet+ModernTCN,,,,,Fixed 4 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.31464916467666626,0.22113017737865448,
,,,,Best single DLinear,ETTh2,0.034539252519607544,,,,,DLinear+iTransformer+TimesNet,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.3154957890510559,0.22426819801330566,
,,,,Best single DLinear,ETTh2,0.034675389528274536,,,,,DLinear+PatchTST+iTransformer+TimesNet,,,,,Fixed 4 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.3156319260597229,0.2228931039571762,
,,,,Best single DLinear,ETTh2,0.0347437858581543,,,,,DLinear+iTransformer+ModernTCN,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.31570032238960266,0.22592099010944366,
,,,,Best single DLinear,ETTh2,0.03474387526512146,,,,,iTransformer+TimesNet+ModernTCN,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.3157004117965698,0.22396954894065857,
,,,,Best single DLinear,ETTh2,0.0348241925239563,,,,,DLinear+PatchTST+iTransformer+ModernTCN,,,,,Fixed 4 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.31578072905540466,0.2243451476097107,
,,,,Best single DLinear,ETTh2,0.05533352494239807,,,,,PatchTST,,,,,Single expert,,,etth2_canonical_validation,,,,,,,,canonical raw single expert baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.33629006147384644,0.2371973991394043,
,,,,Best single DLinear,ETTh2,0.06094539165496826,,,,,PatchTST+iTransformer+TimesNet,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.3419019281864166,0.2661374807357788,
,,,,Best single DLinear,ETTh2,0.0610617995262146,,,,,PatchTST+iTransformer+ModernTCN,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.34201833605766296,0.26873350143432617,
,,,,Best single DLinear,ETTh2,0.06492897868156433,,,,,DLinear+PatchTST+iTransformer,,,,,Fixed 3 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.3458855152130127,0.2751407027244568,
,,,,Best single DLinear,ETTh2,0.07549157738685608,,,,,iTransformer+TimesNet,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.35644811391830444,0.2961324453353882,
,,,,Best single DLinear,ETTh2,0.07556101679801941,,,,,iTransformer+ModernTCN,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.3565175533294678,0.2998839318752289,
,,,,Best single DLinear,ETTh2,0.08015790581703186,,,,,DLinear+iTransformer,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.3611144423484802,0.30792051553726196,
,,,,Best single DLinear,ETTh2,0.1252979040145874,,,,,PatchTST+iTransformer,,,,,Fixed 2 equal,,,etth2_canonical_validation,,,,,,,,canonical raw fixed subset baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.40625444054603577,0.40426206588745117,
,,,,Best single DLinear,ETTh2,0.22239938378334045,,,,,iTransformer,,,,,Single expert,,,etth2_canonical_validation,,,,,,,,canonical raw single expert baseline,experiments/etth2_canonical_protocol/canonical_raw_results.csv,,,validation_only,,,0.5033559203147888,0.7096318602561951,
,,,,Train-selected fixed3,ETTh2,-0.004046261310577393,,,,,DLinear+PatchTST+ModernTCN,,,,,Train-selected full current-best model,,,etth2_train_selected_core,,,,,,,,router-train fixed-three selection then frozen adaptive architecture; no ETTh2 validation tuning,experiments/etth2_train_selected_core/final_report.json,,,validation_only,,,0.27683213353157043,0.16727977991104126,
,,,,,ETTh2,,,,,,DLinear+PatchTST+ModernTCN,,,,,Router-train selected fixed3 OOF,,,etth2_train_selected_core,,,,,,,,chronological OOF on ETTh2 router_train only,experiments/etth2_train_selected_core/final_report.json,,,router_train_oof,,,0.2846583127975464,0.18171773850917816,
,,,,Selected DLinear core,ETTh2,-0.0004869699478149414,,,,,DLinear,,,,,Train-selected variable-core full model,,,etth2_variable_core,,,,,,,,router-train variable-size core selection then frozen adaptive architecture; no ETTh2 validation tuning,experiments/etth2_train_selected_variable_core/final_report.json,,,validation_only,,,0.2804695665836334,0.1709725558757782,
