row,absolute_window_start,agreement_fraction,all_five_agree,at_least_four_agree,selected_pair_unique_count,max_probability_variance,selected_pair_error_variance,modal_pair
56,10856,0.8,False,True,2,0.0001784234670132534,4.1034830804065345e-06,DLinear+ModernTCN
57,10857,0.8,False,True,2,0.0001767008150232563,5.597289442050623e-05,DLinear+ModernTCN
58,10858,0.8,False,True,2,0.00018051248944471964,4.6953395369442325e-06,DLinear+ModernTCN
59,10859,0.8,False,True,2,0.0001808797554926933,1.4713341002448034e-07,DLinear+ModernTCN
60,10860,0.8,False,True,2,0.0001812961894608911,3.565215999984161e-05,DLinear+ModernTCN
61,10861,0.8,False,True,2,0.00018279824724260152,5.886712108491565e-06,DLinear+ModernTCN
62,10862,0.8,False,True,2,0.000182640192874306,9.709379830837862e-06,DLinear+ModernTCN
63,10863,0.8,False,True,2,0.00018323916336612458,5.278076694427369e-05,DLinear+ModernTCN
64,10864,0.8,False,True,2,0.00018622571675651402,5.5157687775277954e-05,DLinear+ModernTCN
65,10865,0.8,False,True,2,0.00018773787921139373,9.474075312937204e-05,DLinear+ModernTCN
66,10866,0.8,False,True,2,0.0001889307856566269,0.0002449078916248482,DLinear+ModernTCN
67,10867,0.8,False,True,2,0.0001868203768231247,0.0003373245177193951,DLinear+ModernTCN
68,10868,0.8,False,True,2,0.000184582212303166,0.0004680709859373166,DLinear+ModernTCN
69,10869,0.8,False,True,2,0.00018390749592297697,0.0003588067581265264,DLinear+ModernTCN
70,10870,0.8,False,True,2,0.00018374103385395915,0.00032293509962585184,DLinear+ModernTCN
71,10871,0.8,False,True,2,0.0001873841745250715,0.0002452800274888034,DLinear+ModernTCN
72,10872,0.8,False,True,2,0.00018627800740111055,1.8458221962092123e-06,DLinear+ModernTCN
73,10873,0.8,False,True,2,0.0001862896980996709,8.499454452248758e-08,DLinear+ModernTCN
74,10874,0.8,False,True,2,0.00018512211450465442,1.4803376161722783e-05,DLinear+ModernTCN
75,10875,0.8,False,True,2,0.00018595817480239417,1.8185043705898356e-06,DLinear+ModernTCN
76,10876,0.8,False,True,2,0.0001877783385053178,4.168262469704587e-05,DLinear+ModernTCN
77,10877,0.8,False,True,2,0.0001854355656936946,5.484562012156858e-06,DLinear+ModernTCN
78,10878,0.8,False,True,2,0.000186593964444679,7.859200852408322e-05,DLinear+ModernTCN
79,10879,0.8,False,True,2,0.00018829085714733296,2.4710933846350258e-06,DLinear+ModernTCN
80,10880,0.8,False,True,2,0.0001887154144061398,1.6922315126066676e-07,DLinear+ModernTCN
81,10881,0.8,False,True,2,0.00018964426391056223,0.00015156775642854114,DLinear+ModernTCN
82,10882,0.8,False,True,2,0.000190294943419822,6.808729641569756e-06,DLinear+ModernTCN
83,10883,0.8,False,True,2,0.0001920737267517758,3.386664371877401e-05,DLinear+ModernTCN
84,10884,0.8,False,True,2,0.00019552726034840264,1.353619110489035e-07,DLinear+ModernTCN
85,10885,0.8,False,True,2,0.00019652220318983282,2.2649155468812408e-06,DLinear+ModernTCN
86,10886,0.8,False,True,2,0.00019723677976605456,2.0619848521761243e-05,DLinear+ModernTCN
87,10887,0.8,False,True,2,0.0002007025252932948,8.023673970364519e-05,DLinear+ModernTCN
88,10888,0.8,False,True,2,0.00020411281747755085,5.110776024267238e-05,DLinear+ModernTCN
89,10889,0.8,False,True,2,0.0002072790311109962,6.944429952824293e-06,DLinear+ModernTCN
90,10890,0.8,False,True,2,0.00020893189512150912,3.9095764101659825e-06,DLinear+ModernTCN
91,10891,0.8,False,True,2,0.00020814613504880342,1.3812760683009628e-05,DLinear+ModernTCN
92,10892,0.8,False,True,2,0.00020852716437866903,6.1456719615549105e-06,DLinear+ModernTCN
93,10893,0.8,False,True,2,0.00021028400455834983,1.723580126622437e-08,DLinear+ModernTCN
94,10894,0.8,False,True,2,0.00020898762414045535,1.2468169393287098e-06,DLinear+ModernTCN
95,10895,0.8,False,True,2,0.00020797005459961327,1.3786898822587546e-07,DLinear+ModernTCN
96,10896,0.8,False,True,2,0.00020775690158499673,7.452734523724302e-05,DLinear+ModernTCN
97,10897,0.8,False,True,2,0.0002091606631228515,6.143843094182699e-05,DLinear+ModernTCN
98,10898,0.8,False,True,2,0.00021107865229689436,1.3784243154901787e-05,DLinear+ModernTCN
99,10899,0.8,False,True,2,0.00021277612087692077,3.028850683350015e-05,DLinear+ModernTCN
100,10900,0.8,False,True,2,0.00021649120021654866,1.216836583495251e-08,DLinear+ModernTCN
101,10901,0.8,False,True,2,0.00022235667091328182,2.3723262131625233e-05,DLinear+ModernTCN
102,10902,0.8,False,True,2,0.00022483956012036896,2.4623783034805058e-05,DLinear+ModernTCN
103,10903,0.8,False,True,2,0.00022587687201541584,6.674183452574311e-05,DLinear+ModernTCN
104,10904,0.8,False,True,2,0.0002300005932358573,1.7540052636491054e-05,DLinear+ModernTCN
105,10905,0.8,False,True,2,0.0002339065607109525,3.53809157473961e-07,DLinear+ModernTCN
106,10906,0.8,False,True,2,0.0002351484795359759,1.6209409535719034e-05,DLinear+ModernTCN
107,10907,0.8,False,True,2,0.00023172668102432685,1.3791502585860374e-05,DLinear+ModernTCN
108,10908,0.8,False,True,2,0.00022936626889867636,3.984654555498679e-05,DLinear+ModernTCN
109,10909,0.8,False,True,2,0.000228469823540145,2.0945864014585427e-05,DLinear+ModernTCN
110,10910,0.8,False,True,2,0.00022868251445760986,4.8833322411070414e-05,DLinear+ModernTCN
111,10911,0.8,False,True,2,0.00022808154559617933,0.00011509743582124091,DLinear+ModernTCN
112,10912,0.8,False,True,2,0.00022664036969462844,5.372977967965652e-07,DLinear+ModernTCN
113,10913,0.8,False,True,2,0.0002258834787913422,2.44510601987713e-05,DLinear+ModernTCN
114,10914,0.8,False,True,2,0.00022579350561452213,1.0337777467270826e-05,DLinear+ModernTCN
115,10915,0.8,False,True,2,0.00022300483056497455,1.3462125849628137e-06,DLinear+ModernTCN
116,10916,0.8,False,True,2,0.00022190881538882936,6.628780347512022e-05,DLinear+ModernTCN
117,10917,0.8,False,True,2,0.00022027959925040365,3.333346978795504e-05,DLinear+ModernTCN
118,10918,0.8,False,True,2,0.000221976561935886,0.00024476127979156104,DLinear+ModernTCN
119,10919,0.8,False,True,2,0.00021597427575139604,7.866623707322164e-06,DLinear+ModernTCN
120,10920,0.8,False,True,2,0.00021414218258998473,1.1954182481588307e-06,DLinear+ModernTCN
121,10921,0.8,False,True,2,0.00021380495242796725,1.5947179591080385e-07,DLinear+ModernTCN
122,10922,0.8,False,True,2,0.0002120690145053139,1.2235294466478308e-07,DLinear+ModernTCN
123,10923,0.8,False,True,2,0.00021358931809283276,2.9645466895544814e-05,DLinear+ModernTCN
124,10924,0.8,False,True,2,0.00021330435201024402,4.476712622491164e-05,DLinear+ModernTCN
125,10925,0.8,False,True,2,0.00021265518254191205,3.690027540997676e-05,DLinear+ModernTCN
126,10926,0.8,False,True,2,0.000214619460144192,0.0001270185100408128,DLinear+ModernTCN
127,10927,0.8,False,True,2,0.00021598896244295673,0.00018135436121383464,DLinear+ModernTCN
128,10928,0.8,False,True,2,0.00021412114483888799,9.621728579588762e-05,DLinear+ModernTCN
129,10929,0.8,False,True,2,0.00021381567452083416,0.00017564099211440977,DLinear+ModernTCN
130,10930,0.8,False,True,2,0.0002167186276133748,0.000292714641091294,DLinear+ModernTCN
131,10931,0.8,False,True,2,0.00021560084143056103,0.0003345566300369285,DLinear+ModernTCN
132,10932,0.8,False,True,2,0.00021515017576460236,0.0002168071843158259,DLinear+ModernTCN
133,10933,0.8,False,True,2,0.00021404620099865212,0.00013169566096223664,DLinear+ModernTCN
134,10934,0.8,False,True,2,0.0002144754073026256,0.00010282737232628846,DLinear+ModernTCN
135,10935,0.8,False,True,2,0.0002158399904961783,2.236656735377096e-07,DLinear+ModernTCN
136,10936,0.8,False,True,2,0.00021751805103388476,5.183447658652084e-08,DLinear+ModernTCN
137,10937,0.8,False,True,2,0.00021910362543216873,9.63314461301934e-07,DLinear+ModernTCN
138,10938,0.8,False,True,2,0.00021827088604077,1.6879580291515593e-05,DLinear+ModernTCN
139,10939,0.8,False,True,2,0.0002159652645646126,1.0405269058679778e-05,DLinear+ModernTCN
140,10940,0.8,False,True,2,0.0002150679991236082,6.02597013244477e-05,DLinear+ModernTCN
141,10941,0.8,False,True,2,0.0002119269394788148,2.3309354446610087e-11,DLinear+ModernTCN
