seed,best_epoch,epochs_ran,selected_pair_mae,selected_pair_mse,regret_to_oracle_pair,improvement_over_fixed_pair,switch_win_rate_vs_fixed,mean_improvement_on_winning_windows,mean_harm_on_losing_windows,exact_best_pair_accuracy,top_two_pair_coverage,top_three_pair_coverage,cross_entropy,soft_target_kl_divergence,checkpoint_state_hash,checkpoint_file_hash
7,2,12,0.2752290368080139,0.1653451770544052,0.013258634135127068,0.0,0.0,0.0,0.0,30.01631200313568,48.28711152076721,69.98368501663208,1.893355369567871,0.7661941647529602,24dd46bbfd2937fbf2fddad7debb088e3e888c1d18bd8c5338774666a9d39520,bfd3515b3ed5af72a969bf3cfa21e611438940a388abd32baebb907b14772945
11,1,11,0.2752290368080139,0.1653451770544052,0.013258634135127068,0.0,0.0,0.0,0.0,30.01631200313568,50.08156895637512,62.642741203308105,1.9443023204803467,0.8186488151550293,d3fa8a9894dee8674825e44acf1cac09742191dcda8658873f5d9d96642f8880,71c8ce8fb38f78fc89acf85da1e0a1025a0c66b5b9b682dbb8ff153c56f14ccf
13,11,21,0.28381696343421936,0.17363116145133972,0.021846583113074303,-0.008587926626205444,29.853180050849915,0.012730030342936516,0.020469024777412415,21.696573495864868,48.45024347305298,69.98368501663208,1.8609066009521484,0.7240254878997803,51d73688948002420c00b7549c4bfad13eef6e9c4d646ff8fc9a806b3901f8ed,2c5d33b23b4ebf024206fc1430f9a8c0799ee2eb857c325f87ce332bcdc4ab9f
17,4,14,0.2752290368080139,0.1653451770544052,0.013258634135127068,0.0,0.0,0.0,0.0,30.01631200313568,48.123979568481445,69.98368501663208,1.873655080795288,0.7536271810531616,16e612d0eee63ec5d19d9a4ecea66c9e4efc4917c7a34b35768ccce4c244f0ed,c1a672c0ad3aba2b9bb39d299f43266e245afde3db32e58148e85885a7b20c49
19,2,12,0.2752290368080139,0.1653451770544052,0.013258634135127068,0.0,0.0,0.0,0.0,30.01631200313568,52.365416288375854,69.98368501663208,1.8936147689819336,0.7603274583816528,e517c3867d82981e9f1694b4d92f07e8a14f8bebee79662bf04d325b3493cc83,3e1fd5d207de688d06a254ed30198682cc592e79039e1d503e985e865cbc7d67
