seed,mode,best_epoch,selected_threshold,selected_pair_mae,selected_pair_mse,regret_to_oracle_pair,improvement_over_fixed_pair,switch_rate,selected_switch_win_rate,predicted_actual_improvement_correlation,beneficial_switch_auc,checkpoint_state_hash,checkpoint_file_hash
7,no_threshold,1,none,0.3626459538936615,0.3237985372543335,0.04558698460459709,-0.01087939739227295,100.0,38.82544934749603,-0.060685958713293076,0.4507675070028011,7c9cea90b01ec9175d73b47aae0e4804259cae2a95a710e6422e9b6e79fbd4d4,11c12ff5fbc1db2d0234de132f01c16639ec4c7797b9487ab4e09ddd4419589b
11,no_threshold,2,none,0.3611893653869629,0.3211512863636017,0.04413039609789848,-0.00942280888557434,100.0,36.867862939834595,0.05413182079792023,0.5459399510644622,ddd9b94dea36ac3ecf7143c9dedc211f80a0a29ba1fac0f14fa47d1ae0ff3347,d7bf2c5fe69121a1da8a9792974a49018ce0400242dd617a7e7752a2397bf879
13,no_threshold,2,none,0.3645944893360138,0.32441598176956177,0.047535527497529984,-0.012827932834625244,96.24795913696289,34.406778216362,0.09412109106779099,0.5290538562391008,363617550aa77cdbedc4bf159660ce2ecbea3fad366c1e3af30cfd526dbaec3d,5ce7adfbb0762728a13fd3e76024c2494471549a60a880d863a2504d3606b181
17,no_threshold,2,none,0.35443657636642456,0.31095412373542786,0.03737762197852135,-0.0026700198650360107,100.0,46.98205590248108,-0.2593090832233429,0.40284188034188034,cc2d57f3d5500f6b50c40b46297cb08c5870793eab0beaf99552776de704655d,60c0bf5e7534d1cd2a35d0597bba5d08aba8e1a407a33ae4db2f621f9f0d5030
19,no_threshold,9,none,0.35671308636665344,0.3218379318714142,0.03965415805578232,-0.004946529865264893,100.0,46.166396141052246,-0.1063627377152443,0.43009958239640217,ff63a5cf4f683555e3370c6da31b6d87036d21dbb80dc789904b71ec494fb2b9,dddeb4ada936c0cb07d4933127caf2b8f0a9360d3b32425896457f34336c87ae
7,threshold,1,0.9347460508346559,0.3516673445701599,0.3149777352809906,0.03460840508341789,9.92119312286377e-05,7.50407800078392,54.347825050354004,-0.060685958713293076,0.4507675070028011,7c9cea90b01ec9175d73b47aae0e4804259cae2a95a710e6422e9b6e79fbd4d4,11c12ff5fbc1db2d0234de132f01c16639ec4c7797b9487ab4e09ddd4419589b
11,threshold,2,0.80515296459198,0.3517577052116394,0.315639466047287,0.034698761999607086,8.851289749145508e-06,5.057096108794212,58.06451439857483,0.05413182079792023,0.5459399510644622,ddd9b94dea36ac3ecf7143c9dedc211f80a0a29ba1fac0f14fa47d1ae0ff3347,d7bf2c5fe69121a1da8a9792974a49018ce0400242dd617a7e7752a2397bf879
13,threshold,2,0.7181009769439697,0.3511675000190735,0.3150096535682678,0.03410855308175087,0.0005990564823150635,5.057096108794212,64.51612710952759,0.09412109106779099,0.5290538562391008,363617550aa77cdbedc4bf159660ce2ecbea3fad366c1e3af30cfd526dbaec3d,5ce7adfbb0762728a13fd3e76024c2494471549a60a880d863a2504d3606b181
17,threshold,2,0.45241208374500275,0.3512085974216461,0.3145177960395813,0.0341496616601944,0.0005579590797424316,2.6101142168045044,68.75,-0.2593090832233429,0.40284188034188034,cc2d57f3d5500f6b50c40b46297cb08c5870793eab0beaf99552776de704655d,60c0bf5e7534d1cd2a35d0597bba5d08aba8e1a407a33ae4db2f621f9f0d5030
19,threshold,9,0.469729483127594,0.3509059548377991,0.3151419758796692,0.033847011625766754,0.0008606016635894775,12.561175227165222,61.03895902633667,-0.1063627377152443,0.43009958239640217,ff63a5cf4f683555e3370c6da31b6d87036d21dbb80dc789904b71ec494fb2b9,dddeb4ada936c0cb07d4933127caf2b8f0a9360d3b32425896457f34336c87ae
