method,metric,mean,std,min,max
improvement_regressor_no_threshold,selected_pair_mae,0.35991589426994325,0.003774787654435561,0.35443657636642456,0.3645944893360138
improvement_regressor_no_threshold,selected_pair_mse,0.3204315721988678,0.004889372939271626,0.31095412373542786,0.32441598176956177
improvement_regressor_no_threshold,regret_to_oracle_pair,0.04285693764686584,0.0037747782215936405,0.03737762197852135,0.047535527497529984
improvement_regressor_no_threshold,improvement_over_fixed_pair,-0.008149337768554688,0.0037747876544355612,-0.012827932834625244,-0.0026700198650360107
improvement_regressor_no_threshold,switch_rate,99.24959182739258,1.5008163452148438,96.24795913696289,100.0
improvement_regressor_no_threshold,selected_switch_win_rate,40.64970850944519,5.042557326941345,34.406778216362,46.98205590248108
improvement_regressor_no_threshold,predicted_actual_improvement_correlation,-0.05562097355723381,0.1253455930703437,-0.2593090832233429,0.09412109106779099
improvement_regressor_no_threshold,beneficial_switch_auc,0.4717405554089293,0.05605574294676089,0.40284188034188034,0.5459399510644622
improvement_regressor_threshold,selected_pair_mae,0.3513414204120636,0.00032157117639473545,0.3509059548377991,0.3517577052116394
improvement_regressor_threshold,selected_pair_mse,0.31505732536315917,0.00035937516838823846,0.3145177960395813,0.315639466047287
improvement_regressor_threshold,regret_to_oracle_pair,0.0342824786901474,0.00032157171903852435,0.033847011625766754,0.034698761999607086
improvement_regressor_threshold,improvement_over_fixed_pair,0.0004251360893249512,0.00032157117639473545,8.851289749145508e-06,0.0008606016635894775
improvement_regressor_threshold,switch_rate,6.557911932468414,3.3771112949166637,2.6101142168045044,12.561175227165222
improvement_regressor_threshold,selected_switch_win_rate,61.34348511695862,4.994111829046277,54.347825050354004,68.75
improvement_regressor_threshold,predicted_actual_improvement_correlation,-0.05562097355723381,0.1253455930703437,-0.2593090832233429,0.09412109106779099
improvement_regressor_threshold,beneficial_switch_auc,0.4717405554089293,0.05605574294676089,0.40284188034188034,0.5459399510644622
current_exact_oracle_pair_classifier,selected_pair_mae,0.35117185711860655,0.0014353750865013152,0.34930676221847534,0.35362887382507324
