epoch,train_loss,router_val_selected_pair_mae,router_val_selected_pair_mse,router_val_exact_best_pair_accuracy
1,0.8653918385679874,0.2752290368080139,0.1653451770544052,30.01631200313568
2,0.763024842048121,0.28619465231895447,0.17627191543579102,17.944535613059998
3,0.7345116398593478,0.28675970435142517,0.17684003710746765,18.27079951763153
4,0.721428220468327,0.27877604961395264,0.16863206028938293,21.20717763900757
5,0.7107435008170717,0.28675970435142517,0.17684003710746765,18.27079951763153
6,0.6981306160245357,0.28675970435142517,0.17684003710746765,18.27079951763153
7,0.6901841331445701,0.28675970435142517,0.17684003710746765,18.27079951763153
8,0.6871914980008552,0.28675970435142517,0.17684003710746765,18.27079951763153
9,0.6837093169609048,0.28675970435142517,0.17684003710746765,18.27079951763153
10,0.678980547657143,0.28675970435142517,0.17684003710746765,18.27079951763153
11,0.6740244508544468,0.28675970435142517,0.17684003710746765,18.27079951763153
