ablation_family,config,dataset,fold_mae,fold_mse,fold_rows,method
sparse_topk_vs_dense_weighting,"{'tau': 0.2, 'top_r': 2, 'hidden': 64, 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.35902315378189087,0.2784307599067688,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3301082253456116, 'mse': 0.22030748426914215}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3408726155757904, 'mse': 0.246846541762352}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4129106402397156, 'mse': 0.3801233768463135}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.352207213640213, 'mse': 0.26645639538764954}]",FAME adaptation
sparse_topk_vs_dense_weighting,"{'tau': 0.1, 'top_r': 1, 'hidden': 64, 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.3706609010696411,0.2952181100845337,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.34874001145362854, 'mse': 0.24789363145828247}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3470176160335541, 'mse': 0.25431206822395325}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.42223474383354187, 'mse': 0.3908630907535553}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.36465662717819214, 'mse': 0.28781041502952576}]",FAME adaptation
sparse_topk_vs_dense_weighting,"{'tau': 0.1, 'top_r': 3, 'hidden': 64, 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.3556221127510071,0.27415239810943604,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3305908739566803, 'mse': 0.22241339087486267}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.33818235993385315, 'mse': 0.2439182549715042}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.40714430809020996, 'mse': 0.37124815583229065}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3465789258480072, 'mse': 0.2590436041355133}]",FAME adaptation
hard_vs_fallback_routing,"{'tau_m': 0.15, 'tau_d': 1.0, 'hidden': 64, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.3553277254104614,0.2692857086658478,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3091488182544708, 'mse': 0.17817163467407227}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3473905920982361, 'mse': 0.25121402740478516}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.41113853454589844, 'mse': 0.3772878050804138}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3536345064640045, 'mse': 0.27046817541122437}]",TimeRouter adaptation
hard_vs_fallback_routing,"{'tau_m': 0.1, 'tau_d': 1.0, 'hidden': 64, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.3558686673641205,0.2700527310371399,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.30988219380378723, 'mse': 0.18017369508743286}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3474884033203125, 'mse': 0.25132161378860474}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.41133391857147217, 'mse': 0.3772098124027252}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3547711670398712, 'mse': 0.27150455117225647}]",TimeRouter adaptation
hard_vs_fallback_routing,"{'tau_m': 0.2, 'tau_d': 1.0, 'hidden': 64, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.35495638847351074,0.2687247395515442,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3090715706348419, 'mse': 0.1776002198457718}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.34721022844314575, 'mse': 0.25103142857551575}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4105062186717987, 'mse': 0.376531720161438}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3530392646789551, 'mse': 0.2697347104549408}]",TimeRouter adaptation
hard_vs_fallback_routing,"{'tau_m': 0.15, 'tau_d': 0.5, 'hidden': 64, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.34720566868782043,0.2591845691204071,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3089468479156494, 'mse': 0.17578741908073425}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3390112519264221, 'mse': 0.24197469651699066}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.39914220571517944, 'mse': 0.3624051511287689}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34172722697257996, 'mse': 0.25657349824905396}]",TimeRouter adaptation
hard_vs_fallback_routing,"{'tau_m': 0.15, 'tau_d': 2.0, 'hidden': 64, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.3700540065765381,0.2982989549636841,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3407582938671112, 'mse': 0.23504988849163055}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3467879295349121, 'mse': 0.2543238401412964}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4246881902217865, 'mse': 0.4025576114654541}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3679833710193634, 'mse': 0.30126190185546875}]",TimeRouter adaptation
covariance_vs_diagonal_global_vs_hv,"{'structure': 'global', 'estimator': 'covariance', 'shrinkage': 0.0}",ETTh1,0.3487619459629059,0.26225191354751587,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3091973662376404, 'mse': 0.18102911114692688}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.33896246552467346, 'mse': 0.24401234090328217}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.40396028757095337, 'mse': 0.3666401207447052}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34293293952941895, 'mse': 0.25733041763305664}]",Bates-Granger
covariance_vs_diagonal_global_vs_hv,"{'structure': 'global', 'estimator': 'covariance', 'shrinkage': 0.25}",ETTh1,0.3469029664993286,0.2590164244174957,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.30954834818840027, 'mse': 0.17705479264259338}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3366791903972626, 'mse': 0.24075622856616974}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.39991894364356995, 'mse': 0.3626260757446289}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34147024154663086, 'mse': 0.2556317150592804}]",Bates-Granger
