status,mode,query_selector,final_selector,force_k,stop_disabled,mae,mse,oracle_match_rate,regret_to_full_oracle,average_experts_used,selection_counts,stop_step_distribution,note
ok,no_stop,query_logits,model,5,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,5.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""5"": 613}",
ok,no_stop,query_logits,oracle,5,True,0.31814324855804443,0.2539284825325012,1.0,0.0,5.0,"{""DLinear"": 117, ""ModernTCN"": 181, ""PatchTST"": 87, ""TimesNet"": 139, ""iTransformer"": 89}","{""5"": 613}",
ok,no_stop,query_logits,equal_average,5,True,0.35006529092788696,0.30973756313323975,,0.03192204236984253,5.0,"{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 613, ""TimesNet"": 613, ""iTransformer"": 613}","{""5"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,no_stop,query_logits,learned_sparse_mixer,5,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,no_stop,predicted_error,model,5,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,5.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""5"": 613}",
ok,no_stop,predicted_error,oracle,5,True,0.31814324855804443,0.2539284825325012,1.0,0.0,5.0,"{""DLinear"": 117, ""ModernTCN"": 181, ""PatchTST"": 87, ""TimesNet"": 139, ""iTransformer"": 89}","{""5"": 613}",
ok,no_stop,predicted_error,equal_average,5,True,0.35006529092788696,0.30973756313323975,,0.03192204236984253,5.0,"{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 613, ""TimesNet"": 613, ""iTransformer"": 613}","{""5"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,no_stop,predicted_error,learned_sparse_mixer,5,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,no_stop,oracle_improvement,model,5,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,5.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""5"": 613}",
ok,no_stop,oracle_improvement,oracle,5,True,0.31814324855804443,0.2539284825325012,1.0,0.0,5.0,"{""DLinear"": 117, ""ModernTCN"": 181, ""PatchTST"": 87, ""TimesNet"": 139, ""iTransformer"": 89}","{""5"": 613}",
ok,no_stop,oracle_improvement,equal_average,5,True,0.35006535053253174,0.30973756313323975,,0.031922101974487305,5.0,"{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 613, ""TimesNet"": 613, ""iTransformer"": 613}","{""5"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,no_stop,oracle_improvement,learned_sparse_mixer,5,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
skipped,no_stop,pairwise_reranker,model,5,True,,,,,,{},{},pairwise reranker is not available in the current COSTARTS checkpoint
skipped,no_stop,pairwise_reranker,oracle,5,True,,,,,,{},{},pairwise reranker is not available in the current COSTARTS checkpoint
skipped,no_stop,pairwise_reranker,equal_average,5,True,,,,,,{},{},pairwise reranker is not available in the current COSTARTS checkpoint
skipped,no_stop,pairwise_reranker,learned_sparse_mixer,5,True,,,,,,{},{},pairwise reranker is not available in the current COSTARTS checkpoint
