state_index,expert,expert_index,predicted_score,true_negative_mae,true_mae
1,DLinear,0,1.4347429275512695,-0.4485236704349518,0.4485236704349518
2,PatchTST,1,0.23355963826179504,-0.41421839594841003,0.41421839594841003
3,iTransformer,2,-0.6762238144874573,-0.43751397728919983,0.43751397728919983
4,TimesNet,3,-0.04676617681980133,-0.524795413017273,0.524795413017273
5,ModernTCN,4,0.01046811044216156,-0.4346129596233368,0.4346129596233368
6,DLinear,0,1.6810858249664307,-0.4485236704349518,0.4485236704349518
6,PatchTST,1,0.29500165581703186,-0.41421839594841003,0.41421839594841003
7,DLinear,0,1.5921764373779297,-0.4485236704349518,0.4485236704349518
7,iTransformer,2,-0.33269649744033813,-0.43751397728919983,0.43751397728919983
8,DLinear,0,1.3237125873565674,-0.4485236704349518,0.4485236704349518
8,TimesNet,3,0.23220126330852509,-0.524795413017273,0.524795413017273
9,DLinear,0,1.631178617477417,-0.4485236704349518,0.4485236704349518
9,ModernTCN,4,0.10729926079511642,-0.4346129596233368,0.4346129596233368
10,PatchTST,1,0.2862255275249481,-0.41421839594841003,0.41421839594841003
10,iTransformer,2,-0.592922031879425,-0.43751397728919983,0.43751397728919983
11,PatchTST,1,0.27778610587120056,-0.41421839594841003,0.41421839594841003
11,TimesNet,3,0.06904684007167816,-0.524795413017273,0.524795413017273
12,PatchTST,1,0.3652634620666504,-0.41421839594841003,0.41421839594841003
12,ModernTCN,4,-0.14469939470291138,-0.4346129596233368,0.4346129596233368
13,iTransformer,2,-0.5161609053611755,-0.43751397728919983,0.43751397728919983
13,TimesNet,3,0.11747764050960541,-0.524795413017273,0.524795413017273
14,iTransformer,2,-0.4796554446220398,-0.43751397728919983,0.43751397728919983
14,ModernTCN,4,-0.07764481753110886,-0.4346129596233368,0.4346129596233368
15,TimesNet,3,0.26695549488067627,-0.524795413017273,0.524795413017273
15,ModernTCN,4,-0.06731688231229782,-0.4346129596233368,0.4346129596233368
16,DLinear,0,1.752119779586792,-0.4485236704349518,0.4485236704349518
16,PatchTST,1,0.3311555087566376,-0.41421839594841003,0.41421839594841003
16,iTransformer,2,-0.37968310713768005,-0.43751397728919983,0.43751397728919983
17,DLinear,0,1.472704291343689,-0.4485236704349518,0.4485236704349518
17,PatchTST,1,0.3601679503917694,-0.41421839594841003,0.41421839594841003
17,TimesNet,3,0.2912716269493103,-0.524795413017273,0.524795413017273
18,DLinear,0,1.7186360359191895,-0.4485236704349518,0.4485236704349518
18,PatchTST,1,0.3758198022842407,-0.41421839594841003,0.41421839594841003
18,ModernTCN,4,0.08646102994680405,-0.4346129596233368,0.4346129596233368
19,DLinear,0,1.44136381149292,-0.4485236704349518,0.4485236704349518
19,iTransformer,2,-0.34546735882759094,-0.43751397728919983,0.43751397728919983
19,TimesNet,3,0.2553091049194336,-0.524795413017273,0.524795413017273
20,DLinear,0,1.7266778945922852,-0.4485236704349518,0.4485236704349518
20,iTransformer,2,-0.33463144302368164,-0.43751397728919983,0.43751397728919983
20,ModernTCN,4,0.0672859475016594,-0.4346129596233368,0.4346129596233368
21,DLinear,0,1.4631949663162231,-0.4485236704349518,0.4485236704349518
21,TimesNet,3,0.4363577961921692,-0.524795413017273,0.524795413017273
21,ModernTCN,4,0.039998047053813934,-0.4346129596233368,0.4346129596233368
22,PatchTST,1,0.3047991394996643,-0.41421839594841003,0.41421839594841003
22,iTransformer,2,-0.4603128731250763,-0.43751397728919983,0.43751397728919983
22,TimesNet,3,0.16860555112361908,-0.524795413017273,0.524795413017273
23,PatchTST,1,0.36930444836616516,-0.41421839594841003,0.41421839594841003
23,iTransformer,2,-0.4938102960586548,-0.43751397728919983,0.43751397728919983
23,ModernTCN,4,-0.13354915380477905,-0.4346129596233368,0.4346129596233368
24,PatchTST,1,0.32857149839401245,-0.41421839594841003,0.41421839594841003
24,TimesNet,3,0.25015753507614136,-0.524795413017273,0.524795413017273
24,ModernTCN,4,-0.09652376919984818,-0.4346129596233368,0.4346129596233368
