epoch,train_loss,no_threshold_val_mae,threshold_val_mae,selected_threshold,threshold_switch_rate
1,0.08788219603532503,0.3626459538936615,0.3516673445701599,0.9347460508346559,7.50407800078392
2,0.013174094210745821,0.3620357811450958,0.35176658630371094,0.7672229409217834,0.0
3,0.007766609115973369,0.36087316274642944,0.35176658630371094,0.5902594923973083,0.0
4,0.004518071595530393,0.35743603110313416,0.35176658630371094,0.46182912588119507,0.0
5,0.0037527225209156,0.35846588015556335,0.35176658630371094,0.5239980816841125,0.0
6,0.002738302431912631,0.3590458035469055,0.35176658630371094,0.5556760430335999,0.0
7,0.002448476601711393,0.3595160245895386,0.35176658630371094,0.5436986088752747,0.0
8,0.002084383417916186,0.36096954345703125,0.35176658630371094,0.47541505098342896,0.0
9,0.0019128609895960214,0.3599073588848114,0.35176658630371094,0.44398558139801025,0.0
10,0.0018426894168997764,0.36141934990882874,0.35176658630371094,0.44563233852386475,0.0
11,0.001743757946115519,0.3620339632034302,0.35176658630371094,0.4359167814254761,0.0
