epoch,train_loss,router_val_selected_pair_mae,router_val_selected_pair_mse,router_val_exact_best_pair_accuracy
1,0.9736676714911556,0.28675970435142517,0.17684003710746765,18.27079951763153
2,0.7796091286949106,0.2752290368080139,0.1653451770544052,30.01631200313568
3,0.7504417603037965,0.27765217423439026,0.1678023487329483,21.696573495864868
4,0.7259436571127719,0.27765217423439026,0.1678023487329483,21.696573495864868
5,0.7194487118918432,0.27765217423439026,0.1678023487329483,21.696573495864868
6,0.7036100981645449,0.28675970435142517,0.17684003710746765,18.27079951763153
7,0.6947680122377347,0.28675970435142517,0.17684003710746765,18.27079951763153
8,0.6908700812228761,0.28675970435142517,0.17684003710746765,18.27079951763153
9,0.6825075313862625,0.28675970435142517,0.17684003710746765,18.27079951763153
10,0.6845003495376631,0.28675970435142517,0.17684003710746765,18.27079951763153
11,0.6901989927305806,0.28675970435142517,0.17684003710746765,18.27079951763153
12,0.6820086546920883,0.28675970435142517,0.17684003710746765,18.27079951763153
